Name,Distance,Latitude_x,Longitude_x,Latitude_y,Longitude_y,Rating,Review Count
33 Acres Brewing Co,674.0,49.263877,-123.105307,,,,
49th Parallel Coffee Roast,877.0,49.259164,-123.100851,,,,
A Bread Affair,735.0,49.27248,-123.135889,,,,
Angus T,716.0,49.275871,-123.119875,,,,
Anh and Chi,750.0,49.255019,-123.100904,49.2550314422938,-123.100882202153,4.0,653.0
AnnaLena,602.0,49.270791,-123.146937,49.2708261,-123.1467714,4.5,353.0
Aphrodite's Organic Cafe & Pie Shop,442.0,49.268461,-123.183309,,,,
Au Comptoir,301.0,49.268082,-123.157004,49.268034328356,-123.15672487756,4.0,212.0
Banyen Books & Sound,439.0,49.268435,-123.183874,,,,
Beaucoup Bakery & Cafe,49.0,49.266477,-123.140728,49.2664944122145,-123.14075578449,4.0,330.0
Beyond Bread Ltd,460.0,49.268507,-123.185502,,,,
Biercraft,109.0,49.274082,-123.069911,,,,
Bloedel Floral Conservatory,904.0,49.242137,-123.113756,,,,
Blue Water Cafe + Raw Bar,684.0,49.276123,-123.121114,,,,
Breka Downtown Bakery Cafe Inc,489.0,49.268532,-123.18672,,,,
Burgoo Bistro,243.0,49.263678,-123.207137,49.27968,-123.12763,4.0,174.0
Cactus Club Cafe,180.0,49.28666,-123.14278,49.28554081466174,-123.11881637137162,4.0,485.0
Callister Brewing Co,246.0,49.282096,-123.07627,,,,
Charleson Park,891.0,49.266831,-123.124538,,,,
Coal Harbour Gifts,1176.0,49.28443,-123.112168,,,,
Coal Harbour Seawall,943.0,49.291405,-123.123067,,,,
Commodore Ballroom,511.0,49.280556,-123.12045,,,,
Corduroy Pie Co,236.0,49.256904,-123.121177,,,,
David Lam Park,870.0,49.27233,-123.124359,,,,
Dragon Ball Tea House,401.0,49.24949,-123.127924,,,,
Dude Chilling Park,831.0,49.263472,-123.096107,,,,
Earnest Ice Cream,951.0,49.249334,-123.089877,49.2688628769236,-123.102919221177,4.5,389.0
East Is East,512.0,49.264423,-123.176637,49.26430118353472,-123.1726934,4.0,299.0
Elysian Coffee,718.0,49.264531,-123.105038,,,,
Elysian Coffee Broadway,927.0,49.263077,-123.117243,,,,
English Bay Beach,167.0,49.286311,-123.143487,,,,
Eye Kandee Lingerie,357.0,49.286089,-123.139811,,,,
Fable,585.0,49.267954,-123.149127,,,,
Fable Diner,903.0,49.263042,-123.101505,49.2630749,-123.1019822,4.0,332.0
False Creek Seawall,922.0,49.272732,-123.133558,,,,
FlyOver Canada,632.0,49.289031,-123.110613,,,,
Fujiya Japanese Foods,656.0,49.276572,-123.077019,,,,
George Wainborn Park,297.0,49.272361,-123.12939,,,,
Gotham Steakhouse & Cocktail Bar,399.0,49.282814,-123.115925,,,,
Granville Island Public Market,763.0,49.27209,-123.135,,,,
Granville Island Publishing,660.0,49.271996,-123.136172,,,,
Green Leaf Sushi,266.0,49.264138,-123.18018,49.2642679,-123.1801,4.0,396.0
Guu with Garlic,874.0,49.290278,-123.133923,49.290249,-123.1338142,4.5,1059.0
Gyu-Kaku BBQ,1002.0,49.263202,-123.125769,,,,
HI-Vancouver Jericho Beach,871.0,49.273017,-123.203242,,,,
Harbour Green Park,799.0,49.289362,-123.121757,,,,
Hawksworth Restaurant,420.0,49.283302,-123.11938,49.2833971,-123.1191704,4.0,655.0
Hokkaido Ramen Santouka,869.0,49.290258,-123.13384,49.290236,-123.133811,4.0,991.0
Indian Oven Restaurant Ltd,208.0,49.267949,-123.150667,,,,
Indian Roti Kitchen,572.0,49.258983,-123.115272,49.25901,-123.11538,4.5,162.0
Indigo - Robson,879.0,49.28403,-123.123492,,,,
Jack Poole Plaza,292.0,49.289763,-123.117572,,,,
Jericho Beach,1018.0,49.271705,-123.191696,49.2709968241682,-123.192315101624,4.5,26.0
Joe Fortes Seafood & Chop House,762.0,49.284956,-123.124545,49.28493,-123.12473,4.0,1264.0
Keefer Bar,278.0,49.279619,-123.101293,,,,
Kingyo Izakaya 金魚居酒屋,680.0,49.290643,-123.136956,,,,
Kishimoto Japanese Kitchen + Sushi Bar,706.0,49.26661,-123.069522,,,,
Kitsilano Beach,920.0,49.273971,-123.155725,,,,
Konbiniya,839.0,49.286326,-123.127825,,,,
La Grotta Del Formaggio,675.0,49.268804,-123.06987,49.2688848,-123.0697849,4.5,190.0
La Mezcaleria,334.0,49.270076,-123.06941,49.2702237,-123.0694136,4.0,296.0
La Petite Cuillere,793.0,49.263551,-123.099764,,,,
La Taqueria Pinche Taco Shop,564.0,49.263601,-123.112665,49.263559,-123.112736,4.0,685.0
Landmark Hotpot House,752.0,49.249755,-123.115621,49.2498660758194,-123.11556053834,4.0,121.0
Lemonade Gluten Free Bakery,359.0,49.255142,-123.115431,49.2551572,-123.115342,4.5,134.0
