Name,Distance,Rating,Review Count,Latitude,Longitude
33 Acres Brewing Co,674.0,0.0,0.0,49.263877,-123.105307
49th Parallel Coffee Roast,877.0,0.0,0.0,49.259164,-123.100851
A Bread Affair,735.0,0.0,0.0,49.27248,-123.135889
Angus T,716.0,0.0,0.0,49.275871,-123.119875
Anh and Chi,750.0,4.0,653.0,49.255019,-123.100904
AnnaLena,602.0,4.5,353.0,49.270791,-123.146937
Aphrodite's Organic Cafe & Pie Shop,442.0,0.0,0.0,49.268461,-123.183309
Au Comptoir,301.0,4.0,212.0,49.268082,-123.157004
Banyen Books & Sound,439.0,0.0,0.0,49.268435,-123.183874
Beaucoup Bakery & Cafe,49.0,4.0,330.0,49.266477,-123.140728
Beyond Bread Ltd,460.0,0.0,0.0,49.268507,-123.185502
Biercraft,109.0,0.0,0.0,49.274082,-123.069911
Bloedel Floral Conservatory,904.0,0.0,0.0,49.242137,-123.113756
Blue Water Cafe + Raw Bar,684.0,0.0,0.0,49.276123,-123.121114
Breka Downtown Bakery Cafe Inc,489.0,0.0,0.0,49.268532,-123.18672
Burgoo Bistro,243.0,4.0,174.0,49.263678,-123.207137
Cactus Club Cafe,180.0,4.0,485.0,49.28666,-123.14278
Callister Brewing Co,246.0,0.0,0.0,49.282096,-123.07627
Charleson Park,891.0,0.0,0.0,49.266831,-123.124538
Coal Harbour Gifts,1176.0,0.0,0.0,49.28443,-123.112168
Coal Harbour Seawall,943.0,0.0,0.0,49.291405,-123.123067
Commodore Ballroom,511.0,0.0,0.0,49.280556,-123.12045
Corduroy Pie Co,236.0,0.0,0.0,49.256904,-123.121177
David Lam Park,870.0,0.0,0.0,49.27233,-123.124359
Dragon Ball Tea House,401.0,0.0,0.0,49.24949,-123.127924
Dude Chilling Park,831.0,0.0,0.0,49.263472,-123.096107
Earnest Ice Cream,951.0,4.5,389.0,49.249334,-123.089877
East Is East,512.0,4.0,299.0,49.264423,-123.176637
Elysian Coffee,718.0,0.0,0.0,49.264531,-123.105038
Elysian Coffee Broadway,927.0,0.0,0.0,49.263077,-123.117243
English Bay Beach,167.0,0.0,0.0,49.286311,-123.143487
Eye Kandee Lingerie,357.0,0.0,0.0,49.286089,-123.139811
Fable,585.0,0.0,0.0,49.267954,-123.149127
Fable Diner,903.0,4.0,332.0,49.263042,-123.101505
False Creek Seawall,922.0,0.0,0.0,49.272732,-123.133558
FlyOver Canada,632.0,0.0,0.0,49.289031,-123.110613
Fujiya Japanese Foods,656.0,0.0,0.0,49.276572,-123.077019
George Wainborn Park,297.0,0.0,0.0,49.272361,-123.12939
Gotham Steakhouse & Cocktail Bar,399.0,0.0,0.0,49.282814,-123.115925
Granville Island Public Market,763.0,0.0,0.0,49.27209,-123.135
Granville Island Publishing,660.0,0.0,0.0,49.271996,-123.136172
Green Leaf Sushi,266.0,4.0,396.0,49.264138,-123.18018
Guu with Garlic,874.0,4.5,1059.0,49.290278,-123.133923
Gyu-Kaku BBQ,1002.0,0.0,0.0,49.263202,-123.125769
HI-Vancouver Jericho Beach,871.0,0.0,0.0,49.273017,-123.203242
Harbour Green Park,799.0,0.0,0.0,49.289362,-123.121757
Hawksworth Restaurant,420.0,4.0,655.0,49.283302,-123.11938
Hokkaido Ramen Santouka,869.0,4.0,991.0,49.290258,-123.13384
Indian Oven Restaurant Ltd,208.0,0.0,0.0,49.267949,-123.150667
Indian Roti Kitchen,572.0,4.5,162.0,49.258983,-123.115272
Indigo - Robson,879.0,0.0,0.0,49.28403,-123.123492
Jack Poole Plaza,292.0,0.0,0.0,49.289763,-123.117572
Jericho Beach,1018.0,4.5,26.0,49.271705,-123.191696
Joe Fortes Seafood & Chop House,762.0,4.0,1264.0,49.284956,-123.124545
