,Name,Distance,Latitude,Longitude
0,33 Acres Brewing Co,674,49.263877,-123.105307
626,49th Parallel Coffee Roast,877,49.259164,-123.100851
3991,A Bread Affair,735,49.27248,-123.135889
4714,Angus T,716,49.275871,-123.119875
5461,Anh and Chi,750,49.255019,-123.100904
1774,AnnaLena,602,49.270791,-123.146937
928,Aphrodite's Organic Cafe & Pie Shop,442,49.268461,-123.183309
4217,Au Comptoir,301,49.268082,-123.157004
2876,Banyen Books & Sound,439,49.268435,-123.183874
84,Beaucoup Bakery & Cafe,49,49.266477,-123.140728
4829,Beyond Bread Ltd,460,49.268507,-123.185502
3777,Biercraft,109,49.274082,-123.069911
4125,Bloedel Floral Conservatory,904,49.242137,-123.113756
3736,Blue Water Cafe + Raw Bar,684,49.276123,-123.121114
1415,Breka Downtown Bakery Cafe Inc,489,49.268532,-123.18672
2193,Burgoo Bistro,243,49.263678,-123.207137
1012,Cactus Club Cafe,180,49.28666,-123.14278
5793,Callister Brewing Co,246,49.282096,-123.07627
2929,Charleson Park,891,49.266831,-123.124538
407,Coal Harbour Gifts,1176,49.28443,-123.112168
904,Coal Harbour Seawall,943,49.291405,-123.123067
2468,Commodore Ballroom,511,49.280556,-123.12045
4349,Corduroy Pie Co,236,49.256904,-123.121177
4657,David Lam Park,870,49.27233,-123.124359
1689,Dragon Ball Tea House,401,49.24949,-123.127924
3070,Dude Chilling Park,831,49.263472,-123.096107
3801,Earnest Ice Cream,951,49.249334,-123.089877
5562,East Is East,512,49.264423,-123.176637
4971,Elysian Coffee,718,49.264531,-123.105038
452,Elysian Coffee Broadway,927,49.263077,-123.117243
5399,English Bay Beach,167,49.286311,-123.143487
5830,Eye Kandee Lingerie,357,49.286089,-123.139811
3743,Fable,585,49.267954,-123.149127
1359,Fable Diner,903,49.263042,-123.101505
3436,False Creek Seawall,922,49.272732,-123.133558
4647,FlyOver Canada,632,49.289031,-123.110613
884,Fujiya Japanese Foods,656,49.276572,-123.077019
3007,George Wainborn Park,297,49.272361,-123.12939
410,Gotham Steakhouse & Cocktail Bar,399,49.282814,-123.115925
2765,Granville Island Public Market,763,49.27209,-123.135
4234,Granville Island Publishing,660,49.271996,-123.136172
4094,Green Leaf Sushi,266,49.264138,-123.18018
5230,Guu with Garlic,874,49.290278,-123.133923
5083,Gyu-Kaku BBQ,1002,49.263202,-123.125769
4388,HI-Vancouver Jericho Beach,871,49.273017,-123.203242
3898,Harbour Green Park,799,49.289362,-123.121757
4895,Hawksworth Restaurant,420,49.283302,-123.11938
2305,Hokkaido Ramen Santouka,869,49.290258,-123.13384
4703,Indian Oven Restaurant Ltd,208,49.267949,-123.150667
2157,Indian Roti Kitchen,572,49.258983,-123.115272
6091,Indigo - Robson,879,49.28403,-123.123492
3434,Jack Poole Plaza,292,49.289763,-123.117572
2875,Jericho Beach,1018,49.271705,-123.191696
1701,Joe Fortes Seafood & Chop House,762,49.284956,-123.124545
4694,Keefer Bar,278,49.279619,-123.101293
5890,Kingyo Izakaya 金魚居酒屋,680,49.290643,-123.136956
4789,Kishimoto Japanese Kitchen + Sushi Bar,706,49.26661,-123.069522
3964,Kitsilano Beach,920,49.273971,-123.155725
2171,Konbiniya,839,49.286326,-123.127825
1338,La Grotta Del Formaggio,675,49.268804,-123.06987
891,La Mezcaleria,334,49.270076,-123.06941
1357,La Petite Cuillere,793,49.263551,-123.099764
3026,La Taqueria Pinche Taco Shop,564,49.263601,-123.112665
715,Landmark Hotpot House,752,49.249755,-123.115621
5574,Lemonade Gluten Free Bakery,359,49.255142,-123.115431
5752,Les Faux Bourgeois,89,49.257306,-123.089824
127,Los Cuervos Taqueria & Cantina,895,49.257466,-123.091136
2319,Matchstick Coffee,866,49.257296,-123.090229
162,Meat & Bread,239,49.282674,-123.109342
5616,Milano Coffee,430,49.263724,-123.108701
1642,Muji 無印良品,995,49.285368,-123.12531
4175,Nero Belgian Waffle Bar,428,49.278311,-123.122111
3859,Neverland Tea Salon,747,49.264037,-123.173523
685,Nuba,669,49.264022,-123.174575
867,Osteria Savio Volpe,469,49.257425,-123.09097
3355,Pallet Coffee Roasters,754,49.28179,-123.063911
5794,Parallel 49 Brewing Co,804,49.283798,-123.064405
2638,Parthenon Supermarket,724,49.264037,-123.173523
697,Passion8 Dessert Cafe,535,49.25837,-123.114814
3818,Pepino's,671,49.278808,-123.070636
5331,Potluck Hawker Eatery,383,49.254508,-123.114891
5707,Pulpfiction Books,824,49.263494,-123.100651
49,Pure Bread,527,49.266631,-123.104568
3638,Queen Elizabeth Botanical Gardens,909,49.242081,-123.113751
1936,Queen Elizabeth Park Fountains,940,49.241478,-123.113781
4865,Queen Elizabeth Pitch & Putt,1240,49.241058,-123.123231
2935,R & B Brewing Inc,962,49.26727,-123.103568
2156,Rackets & Runners,667,49.251133,-123.127172
3618,Rain or Shine,373,49.255054,-123.114856
3742,Rain or Shine Ice Cream,569,49.267929,-123.1488
