,Name,Latitude,Longitude,Rating,Review Count
11138,49th Parallel Coffee,49.2680088064106,-123.154781059525,4.0,212
7694,AJ's Brooklyn Pizza Joint,49.2629437687572,-123.098307028413,4.5,139
10866,Absinthe Bistro,49.27607,-123.0692457,4.5,141
8664,Afghan Horsemen Restaurant,49.2694847203493,-123.138735294342,4.0,249
3098,Afuri Ramen + Dumpling,49.25994,-123.10151,4.0,23
8878,Aleph Eatery,49.2849288,-123.065795,4.5,69
8027,Alouette Bistro,49.2853,-123.11829,4.5,57
10655,Ancora Waterfront Dining and Patio,49.273853456158875,-123.13257765112428,4.0,223
3784,Anh and Chi,49.2550314422938,-123.100882202153,4.0,653
2773,Anna's Cake House,49.26217,-123.09073,4.0,48
3127,AnnaLena,49.2708261,-123.1467714,4.5,353
69,Arike Restaurant,49.2868046,-123.1408561,5.0,26
5625,Au Comptoir,49.268034328356,-123.15672487756,4.0,212
4364,Axum Restaurant,49.2814936637038,-123.07779582314,4.5,70
2251,B House,49.264473795087,-123.069533295929,4.5,25
7268,Ba Le Banh Mi,49.2626049,-123.0893899,3.5,31
2052,Banana Leaf,49.28001,-123.13009,3.5,241
5119,Bao Bei Chinese Brasserie,49.2796095312486,-123.100574596039,4.0,424
9988,Bean Around the World Coffees,49.2636865,-123.2079184,4.0,29
8165,Beaucoup Bakery & Cafe,49.2664944122145,-123.14075578449,4.0,330
67,Beeryani Indian Bistro & Bar,49.28724,-123.14124,4.5,36
6066,Bella Gelateria,49.2865973,-123.14110231288184,4.0,890
3983,Bella Roma Pizzeria & Ristorante,49.2636894,-123.208103,3.5,56
2790,Bells and Whistles,49.2556805042778,-123.089684071771,3.0,124
11779,Beta5 Chocolates,49.2696646,-123.0958401,4.5,307
5325,Black Frog Eatery,49.284598,-123.108687,4.0,215
1157,Black Rice Izakaya,49.278444,-123.114329,4.0,301
9449,Bloedel Conservatory,49.2414242,-123.1147553,4.5,133
7642,Blue Water Cafe,49.2761945,-123.1209935,4.5,1080
2230,Bombay Kitchen and Bar,49.2753791,-123.06925001456972,4.0,54
6981,Bombay Masala Indian Restaurant,49.26407,-123.20835,4.5,24
10524,Botanist,49.2883099,-123.1167271,4.5,388
6326,Browns Crafthouse Seymour,49.2841724124811,-123.113347974687,4.0,48
3385,Browns Socialhouse Point Grey,49.2636639748682,-123.185155477975,3.5,49
1593,Budgies Burritos,49.2634464768729,-123.100247082572,4.0,283
4583,Burdock,49.26092,-123.10066,3.5,184
6046,Burgoo Bistro,49.27968,-123.12763,4.0,174
7774,Burgoo Bistros,49.25765498958033,-123.100815,4.0,504
6065,CRAFT Beer Market,49.2864807,-123.142214,4.0,37
8523,Cactus Club Cafe,49.28554081466174,-123.11881637137162,4.0,485
863,Caffe La Tana,49.2788597356837,-123.070581380828,4.5,40
12399,Caffe W,49.2642329148272,-123.18472912500756,4.5,42
11910,Café Gloucester,49.25552,-123.11472,3.5,149
933,Café Portrait,49.2881056129168,-123.140413686633,4.5,53
4104,Calabash Bistro,49.281004479966,-123.104228199529,4.0,285
5477,Cardero's Restaurant & Marine Pub,49.2914561357511,-123.127575841549,4.0,661
4778,Catoro Cafe,49.26216,-123.08963,4.0,34
6110,Caveman Cafe,49.280802324947445,-123.10703500282293,4.5,273
7612,Chambar,49.2801460007961,-123.109925328073,4.0,1548
3133,Chewies Steam & Oyster Bar - Kits,49.2709727,-123.1552829,3.5,293
8128,Chi Vegan,49.2681947,-123.1487738,4.0,207
7108,Chinatown BBQ,49.280294,-123.1015,4.5,286
3855,Chung Chun,49.29147304039323,-123.13512302935123,4.5,79
2153,Cioppino's Mediterranean Grill,49.275522,-123.121794,4.5,199
12377,Circus Play Cafe,49.28109509999999,-123.0739001,4.0,53
443,City 1 Cafe,49.248391,-123.125497,3.5,97
